Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
label,div,1.0,0.0,0.0769,0.9333,0.2347,0.9298,0.2105,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0769,0.9333,0.1122,0.9298,0.2105,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.125,0.4783,0.1122,0.9223,0.2105,0.0,1.0,grey,black,0.0028,LabelCandidate
label,div,1.0,0.0,0.125,0.5652,0.1122,0.9363,0.2105,0.0,1.0,grey,black,0.0028,LabelCandidate
p,div,0.0,0.0,0.0,0.5217,0.1122,0.9121,0.2105,0.0,1.0,grey,black,0.0028,LabelCandidate
label,div,1.0,0.0,0.0909,0.7,0.1122,0.8881,0.5,0.0,1.0,grey,black,0.0028,LabelCandidate
h4,div,0.0,0.0,0.0,0.5455,0.1122,0.9366,0.3684,0.0,1.0,grey,black,0.0036,LabelCandidate
h4,div,0.0,0.0,0.0,0.5455,0.1122,0.9146,0.3684,0.0,1.0,grey,black,0.0035,LabelCandidate
label,div,1.0,0.0,0.0741,0.5455,0.1122,0.8044,0.2105,0.0,1.0,grey,black,0.0032,LabelCandidate
label,div,1.0,0.0,0.0909,0.7,0.1122,0.9009,0.5,0.0,1.0,grey,black,0.0095,LabelCandidate
label,div,1.0,0.0,0.0741,0.5455,0.1122,0.8292,0.2105,0.0,1.0,grey,black,0.0102,LabelCandidate
h4,div,0.0,0.0,0.0,0.5455,0.1122,0.8871,0.3684,0.0,1.0,grey,black,0.0035,LabelCandidate
label,div,1.0,0.0,0.0909,0.7,0.1122,0.8954,0.5,0.0,1.0,grey,black,0.0054,LabelCandidate
label,div,0.0,0.0,0.0,0.7,0.1122,0.9817,0.5,0.0,1.0,grey,black,0.0028,LabelCandidate
label,div,1.0,0.0,0.037000000000000005,0.5455,0.1122,0.7879,0.2105,0.0,1.0,grey,black,0.0032,LabelCandidate
